ASIN,Mtc Inv,Remarks
B00WFSO8BC,Self Matching,
,,
ASIN,Mtc Inv,Remarks
,2503702299,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
B09KV36DWK,2503666692,
,2503666692,For this it is showing multiple times lines 
,2503666692,
,2503666692,
B09KV2XMG3,Short Received,Phase 1 Direct Shortage: 15 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0BDYP9C3R,Self Matching,
,2503702299,For this as in There is one unit of X adjustment in I column okay But you did not add any remark here got Whenever you find any X adjustment or any positive value  Any positive value in Any positive value in AI column quantity Adjusted Add remark as Units like so and so x units got X suggested got it 
,,
ASIN,Mtc Inv,Remarks
B0BDYRFZYD,Short Received,Phase 1 Direct Shortage: 135 units short received directly
,,
ASIN,Mtc Inv,Remarks
B00WFSOC0Y,Short Received,Phase 1 Direct Shortage: 95 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N6Z26K,Short Received,Phase 1 Direct Shortage: 70 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N6NJK2,Short Received,Phase 1 Direct Shortage: 60 units short received directly
,,
ASIN,Mtc Inv,Remarks
B078ZWSKTR,Short Received,Phase 1 Direct Shortage: 55 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0BDYPNGTT,Short Received,Phase 1 Direct Shortage: 45 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N5N1GN,Short Received,Phase 1 Direct Shortage: 40 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N1J2QK,Short Received,Phase 1 Direct Shortage: 40 units short received directly
,,
ASIN,Mtc Inv,Remarks
B09MFM33VT,2503688875,
,,
ASIN,Mtc Inv,Remarks
,2503688875,
B00W04OG54,Short Received,Phase 1 Direct Shortage: 60 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N6YTXM,Short Received,Phase 1 Direct Shortage: 30 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0F1N79L17,Short Received,Phase 1 Direct Shortage: 30 units short received directly
,,
ASIN,Mtc Inv,Remarks
B0FZ8XK5GR,2503689154,
,,
ASIN,Mtc Inv,Remarks
,2503689154,
B096WH7X89,Short Received,Phase 1 Direct Shortage: 15 units short received directly
,,
ASIN,Mtc Inv,Remarks
B096WGTH2D,Short Received,Phase 1 Direct Shortage: 25 units short received directly
,,
ASIN,Mtc Inv,Remarks
B07V23SMJZ,2503688875,
,,
ASIN,Mtc Inv,Remarks
,2503688875,
