Barcode,Inv no,SID,PO,ASIN,Inv Qty,Rec Qty,Mtc Qty,Mtc Inv,Mtc ASIN,Mtc PO,Remarks,Date,CP
30001163952435,9527199585SCR,5554767014973,2B8F4FRU,B0BHHY75T6,180,84,84,9527199585,B0BHHY75T6,2B8F4FRU,Inv Qty:180.Received Qty:84- Shortage of 96 Units,2026-02-13 17:53:28,"Within 10% CP | Claiming CP: 405.16, Matched CP: 405.16 (range: 364.64–445.68)"
Need Cross PO -  Detected,,5554767014973,5OKZLD5W,B0BHHY75T6,,96,68,9527200210,B0BHHY75T6,5OKZLD5W,,2026-02-13 16:47:22,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 405.16 (range: 364.64–445.68)"
,,,,,,,28,9527197933SCR,B0022H79MG,82GKXDNK,,,Parent ASIN CP: 405.16 | Sub-Matched CP: N/A
30001163953579,9527200210,5609086014973,5OKZLD5W,B0BHHY75T6,68,68,38,9527185027SCRSCRSCR,B08PQ6VWPT,8OMF6YFQ,,2026-02-14 10:14:40,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 391.90 (range: 364.64–445.68)"
,,,,,,,18,9527194660SCR,B0C81G1K5W,3CPT337S,,,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 396.93 (range: 364.64–445.68)"
,,,,,,,12,9527188912SCR,B09L7YNK87,4S9L6GZG,,,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 379.89 (range: 364.64–445.68)"
30001163904809,9527185027SCRSCRSCR,5423605014973,8OMF6YFQ,B08PQ6VWPT,600,600,264,9527180297,B08PQ6VWPT,6DTSHSLA,,2026-01-18 21:40:27,"Within 10% CP | Parent ASIN CP: 391.90, Sub-Matched CP: 391.90 (range: 352.71–431.09)"
,,,,,,,336,9527176648,B00649B4EM,2OMLLHMK,,,"Within 10% CP | Parent ASIN CP: 391.90, Sub-Matched CP: 416.31 (range: 352.71–431.09)"
30001162332702,9527176648,5363140014973,2OMLLHMK,B00649B4EM,2532,1448,1448,Self Matching,,,Inv Qty:2532.Received Qty:1448- Shortage of 1084 Units,2026-01-06 09:24:32,
,,,,,,,1448,9527176648,B00649B4EM,2OMLLHMK,,,"Within 10% CP | Parent ASIN CP: 416.31, Sub-Matched CP: 416.31 (range: 374.68–457.94)"
30001163992950,9527197933SCR,5572535014973,82GKXDNK,B0022H79MG,264,,,,,,Inv Qty:264.Received Qty:0- Shortage of 264 Units,,
,9527197930,5572535014973,8LIQDOPL,B0022H79MG,504,768,504,9527197930,B0022H79MG,8LIQDOPL,,2026-02-10 01:10:53,"Within 10% CP | Parent ASIN CP: 369.39, Sub-Matched CP: 369.39 (range: 332.45–406.33)"
,,,,,,,252,9527185027SCRSCR,B08PQ6VWPT,8OMF6YFQ,,,"Within 10% CP | Parent ASIN CP: 369.39, Sub-Matched CP: 391.90 (range: 332.45–406.33)"
,,,,,,,12,9527184659SCRSCR,B0BTSKRQGR,4DGICL5Q,,,"Within 10% CP | Parent ASIN CP: 369.39, Sub-Matched CP: 387.12 (range: 332.45–406.33)"
